21,9,100,71,89,7,94,31,60,94,36,68,60,3,80,4,13,74,42,86,34,65,42,13,3,72,99,82,91,20,11,30,97,36,2,37,54,70,95,50,50,29,44,37,55,91,70,87,6,22,29,2,53,54,87,86,59,77,46,39,69,50,55,14,58,72,12,28,77,87,75,59,11,3,30,81,54,52,13,1,21,41,69,51,1,41,99,77,61,20,22,49,44,94,44,68,50,79,28,23,64,17,8,50,39,43,6,10,44,46,21,16,12,46,14,85,26,78,73,71,59,46,47,67,64,25,18,60,2,8,46,37,45,57,83,2,48,84,15,16,89,6,96,72,61,48,71,70,8,30,60,49,100,26,72,91,70,23,9,89,80,100,7,65,10,1,15,91,80,36,34,61,98,26,3,10,41,65,28,5,36,87,2,89,57,100,66,82,8,12,26,6,48,50,48,46,100,20,99,99
18,4,90,14,29,8,21,18,61,74,2,60,35,89,17,65,61,51,36,14,32,31,57,1,99,26,81,68,46,70,40,52,99,97,88,17,87,45,40,46,99,97,35,37,95,80,19,99,92,2,4,31,10,2,4,67,97,63,77,51,89,96,81,98,55,1,4,43,12,57,47,61,31,59,17,64,65,13,61,11,35,88,8,42,80,41,25,10,72,98,97,73,20,69,66,84,48,53,47,65,3,39,61,53,63,64,91,34,22,76,27,20,36,20,82,22,50,61,87,72,56,11,87,4,45,22,97,65,40,98,58,8,13,4,3,12,58,73,17,87,62,20,8,42,50,66,78,3,96,12,75,30,37,63,51,10,7,5,53,85,63,10,53,77,18,60,73,39,83,43,88,26,54,20,33,49,84,96,67,40,54,93,31,10,20,60,61,55,30,8,39,94,3,38,9,7,26,66,24,43
58,49,97,88,56,66,54,15,69,83,26,32,94,52,60,91,43,4,69,81,65,12,7,88,4,73,13,89,69,84,47,67,38,7,6,45,85,16,28,36,88,34,22,89,62,42,81,38,70,9,98,11,37,16,1,95,5,40,26,13,7,29,95,2,81,76,19,4,28,95,18,87,75,57,46,79,11,99,86,82,6,100,66,36,22,78,51,80,49,89,47,32,10,43,94,65,34,100,70,30,41,74,84,62,15,28,30,95,21,16,14,8,100,31,29,52,68,48,37,52,85,26,47,21,40,1,32,62,8,89,38,49,82,39,9,16,78,28,9,14,72,2,47,59,74,98,37,92,40,59,14,78,53,60,58,29,2,31,82,8,55,33,13,63,24,72,24,63,12,92,92,63,49,91,74,89,72,10,79,88,54,43,38,55,25,51,79,12,75,73,12,34,26,73,85,24,85,46,25,74
38,6,34,73,7,22,72,53,100,84,46,15,20,98,14,69,91,89,40,1,3,94,37,35,4,39,26,57,41,58,9,36,21,75,94,72,66,68,48,47,16,60,44,19,44,9,4,21,61,43,29,84,6,51,32,69,51,57,14,99,74,51,76,44,86,28,57,71,50,89,72,23,65,90,17,44,89,63,73,78,89,95,69,91,41,83,73,34,25,92,30,50,39,14,100,44,77,35,80,24,73,18,5,51,78,97,71,52,67,21,51,25,58,92,44,10,16,17,51,27,69,35,43,38,8,80,73,66,37,34,13,56,88,91,46,88,90,74,71,87,69,35,98,20,7,54,45,10,44,89,66,83,80,64,91,46,41,58,36,62,86,16,11,23,96,37,97,13,77,46,6,100,23,94,73,7,22,29,82,61,21,36,44,34,66,34,67,68,47,1,21,63,99,8,50,42,5,36,80,37
100,40,98,95,76,73,30,29,63,35,21,65,11,51,59,52,92,58,19,57,83,2,91,80,36,43,62,74,43,75,94,69,67,56,80,84,26,25,40,44,71,86,69,97,34,89,97,75,98,33,83,88,21,15,48,65,94,6,8,31,40,25,54,70,50,74,65,97,30,85,36,17,35,71,61,91,86,92,35,32,45,16,57,80,12,56,98,81,56,96,97,91,34,5,33,3,40,15,50,39,13,13,45,37,25,88,85,67,82,61,99,49,54,45,88,69,8,46,62,94,56,18,5,29,79,25,75,5,34,43,35,8,41,57,43,59,24,34,16,25,5,84,91,33,4,43,86,39,71,89,3,47,28,73,13,1,46,23,57,70,14,61,18,91,16,74,1,46,64,27,94,68,3,82,5,9,99,51,68,95,95,30,39,92,56,96,90,32,52,74,96,98,87,46,15,48,3,35,26,8
54,49,76,50,61,39,36,46,53,49,82,22,37,16,3,67,97,81,37,2,87,71,80,22,71,36,86,27,97,64,66,100,27,35,82,82,71,81,51,20,69,49,50,94,83,46,84,50,51,42,53,37,35,77,3,10,72,29,79,48,11,90,7,71,51,41,38,28,5,12,40,76,66,39,8,47,2,51,67,2,12,22,20,72,45,52,27,90,50,51,96,68,58,13,86,79,57,21,76,86,67,1,37,81,52,95,41,61,36,4,76,96,13,27,43,32,10,44,98,29,78,93,46,42,31,87,90,87,23,28,48,1,62,14,66,39,12,3,86,69,73,74,86,63,14,32,8,89,43,35,67,19,30,1,68,96,60,42,26,89,43,76,50,24,19,95,34,56,60,37,36,44,25,70,66,76,100,42,69,80,17,52,34,14,29,33,58,9,4,13,73,36,53,16,94,38,52,67,39,32
56,95,75,7,48,45,58,99,55,20,53,32,72,21,62,54,54,99,65,71,93,41,97,41,68,48,7,53,60,25,88,50,74,93,79,17,22,81,61,37,59,61,66,13,68,48,2,43,94,81,32,39,69,20,41,13,17,60,42,68,82,6,49,92,3,3,84,90,92,45,74,26,64,40,69,52,19,6,15,56,29,59,39,67,47,89,89,75,12,18,46,73,29,58,14,95,33,66,64,28,88,1,18,27,36,20,18,88,4,56,51,17,90,2,71,49,36,51,45,7,5,69,90,5,77,10,19,75,100,31,58,13,23,67,97,33,18,78,49,1,3,26,97,89,27,5,68,33,91,12,31,25,43,5,69,58,13,94,8,52,92,25,40,49,23,23,82,99,54,28,54,99,71,52,13,43,22,5,63,36,18,95,59,93,86,80,14,9,41,89,89,27,29,40,90,60,17,34,30,16
66,60,57,31,51,21,55,87,47,6,93,37,22,51,70,79,80,37,98,37,44,32,25,10,75,75,99,3,72,75,30,61,52,48,2,61,66,82,74,5,70,25,23,93,94,86,72,89,72,49,48,81,57,49,80,9,30,38,77,94,100,5,65,63,10,29,49,82,60,98,13,52,54,46,52,12,88,7,48,86,7,9,84,15,68,87,50,63,70,52,95,35,25,8,46,93,1,6,74,6,63,13,61,49,50,55,18,48,31,82,53,24,4,34,62,65,21,46,96,7,84,14,53,3,42,4,21,31,53,83,27,64,42,29,88,18,4,43,98,84,66,56,79,46,17,5,50,45,27,77,23,36,2,17,60,85,14,3,33,38,20,78,87,53,68,55,72,65,84,39,16,15,14,10,74,52,61,46,23,59,35,45,21,88,12,46,46,76,97,56,92,85,63,42,66,80,51,11,14,3
73,54,48,35,58,39,60,18,39,36,66,54,96,62,36,79,61,42,42,88,17,6,21,49,41,18,90,11,8,60,25,15,41,100,78,17,13,46,43,99,90,83,2,67,17,48,74,24,61,73,76,10,12,6,61,67,33,14,21,24,92,97,93,4,87,70,28,70,97,32,26,67,8,1,5,1,99,48,40,39,53,45,20,99,93,21,10,16,7,84,87,92,26,91,23,94,67,94,69,39,32,84,53,29,68,63,43,35,79,29,11,98,35,3,90,20,73,44,21,41,27,23,67,18,59,18,82,65,40,56,92,39,75,73,85,46,3,71,29,79,24,64,59,63,76,15,92,93,81,75,37,80,13,98,51,52,5,27,24,74,73,99,59,34,39,17,25,3,73,30,50,11,31,33,41,43,56,60,10,52,54,39,74,31,29,40,57,14,12,83,35,55,55,60,62,15,5,72,5,17
40,85,48,72,60,49,21,22,12,5,33,21,62,11,71,59,4,74,64,85,74,37,78,78,40,45,31,42,58,87,2,88,44,62,98,90,35,53,56,100,90,78,64,23,93,59,60,14,41,2,76,5,30,45,14,92,45,52,99,34,13,17,35,77,59,2,22,42,39,23,54,41,72,38,93,24,21,26,62,38,15,77,58,42,23,39,83,57,86,70,92,29,5,21,73,77,21,96,5,94,97,86,50,82,64,69,84,43,74,56,19,3,22,67,60,76,80,7,50,28,73,86,3,86,51,81,1,86,22,92,93,62,95,40,76,3,95,52,24,76,68,66,40,99,47,21,83,48,100,25,27,27,8,55,27,21,33,62,84,46,37,23,62,61,43,98,70,92,86,94,86,4,62,83,11,23,99,43,84,65,21,72,41,78,34,22,75,29,99,67,91,9,37,80,36,99,97,81,70,84
